County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Grays Harbor,Washington,G5300270,0.556407754,0.415353507,0.028238739,0.141054246,0.145153189,0.423731801,0.495893115,0.080375084,-0.072161314,-0.078468203,-0.213215561,-0.223621392
Island,Washington,G5300290,0.510178389,0.465688021,0.02413359,0.044490368,0.045590634,0.488851572,0.430660509,0.080487919,0.058191063,0.063284718,0.013700695,0.017694084
Jefferson,Washington,G5300310,0.642442887,0.323011751,0.034545363,0.319431136,0.330860844,0.62418623,0.297741172,0.078072598,0.326445058,0.354089766,0.007013922,0.023228922
King,Washington,G5300330,0.690690418,0.285063185,0.024246397,0.405627232,0.41570662,0.719401822,0.216664213,0.063933965,0.502737609,0.537074939,0.097110377,0.12136832
Kitsap,Washington,G5300350,0.545340326,0.428364149,0.026295525,0.116976177,0.120135195,0.508023842,0.394298447,0.097677711,0.113725396,0.126036336,-0.003250781,0.005901142
Kittitas,Washington,G5300370,0.437455286,0.538330307,0.024214408,-0.100875021,-0.103378264,0.395093643,0.532840939,0.072065418,-0.137747296,-0.148445051,-0.036872276,-0.045066787
Klikatat,Washington,G5300390,0.447537473,0.51742262,0.035039907,-0.069885147,-0.072422836,0.389451203,0.537561519,0.072987278,-0.148110317,-0.159771612,-0.07822517,-0.087348775
Lewis,Washington,G5300410,0.371989191,0.600751968,0.027258842,-0.228762778,-0.23517333,0.282702275,0.644001289,0.073296436,-0.361299013,-0.389875498,-0.132536236,-0.154702168
Lincoln,Washington,G5300430,0.284911444,0.691927793,0.023160763,-0.407016349,-0.416666667,0.217748994,0.719061789,0.063189218,-0.501312795,-0.535127055,-0.094296447,-0.118460389
Mason,Washington,G5300450,0.522897114,0.451956791,0.025146095,0.070940322,0.072770209,0.427207637,0.487194101,0.085598262,-0.059986464,-0.06560187,-0.130926786,-0.138372079
Okanogan,Washington,G5300470,0.421939926,0.547370296,0.030689778,-0.125430369,-0.129401678,0.36849804,0.562284243,0.069217717,-0.193786203,-0.208197134,-0.068355834,-0.078795456
Pacific,Washington,G5300490,0.542664386,0.42749905,0.029836564,0.115165336,0.11870715,0.431131019,0.500186637,0.068682344,-0.069055618,-0.074148297,-0.184220954,-0.192855447
Pend Oreille,Washington,G5300510,0.376124775,0.592681464,0.031193761,-0.216556689,-0.223529412,0.284328139,0.642899147,0.072772714,-0.358571009,-0.386713176,-0.14201432,-0.163183764
Pierce,Washington,G5300530,0.543670351,0.432962002,0.023367647,0.110708349,0.113357241,0.495108828,0.42132086,0.083570311,0.073787968,0.08051678,-0.036920381,-0.032840461
San Juan,Washington,G5300550,0.6725505,0.293656787,0.033792713,0.378893713,0.392145369,0.665676629,0.249489512,0.084833859,0.416187117,0.454766734,0.037293404,0.062621365
