FIPS,gisjoin,state,county,total_votes,dem_margin,past_pres_partisanship,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant
13243,G1302430,Georgia,Randolph County,2895,0.112798,0.16317855,5430,41.4,0.13354167,30358,0.506,0.35035991,0.62541528,0,0.01827243,0.0055371,0.32154,0.05195,0.00453,0,0.54333,0.1565
13245,G1302450,Georgia,Richmond County,74952,0.322492,0.33807897,150325,33.5,0.21043868,38595,0.092,0.36008202,0.55080976,0.00283987,0.01679592,0.04633647,0.253909,0.095379,0.07912,0.00763,0.575409,0.119359
13247,G1302470,Georgia,Rockdale County,37589,0.25818,0.16560326,61345,37.5,0.25961065,51072,0.149,0.35964782,0.49937763,0.00097066,0.01982437,0.10019528,0.243039,0.07959,0.07276,0.008,0.40968,0.00588
13249,G1302490,Georgia,Schley County,1909,-0.561027,-0.479405,3655,38.3,0.14864048,41227,1,0.68736491,0.26390254,0,0,0.04775005,0.306589,0.107189,0,0,0.45729,0.03892
13251,G1302510,Georgia,Screven County,5699,-0.175853,-0.0840984,10850,40.5,0.14379425,35047,0.789,0.54810826,0.41667848,0.00361343,0.0021964,0.0174295,0.33379,0.13637,0.01165,0,0.57932,0.09731
13253,G1302530,Georgia,Seminole County,3577,-0.322185,-0.2035023,6695,45.2,0.14916763,35410,0.686,0.61798528,0.34268629,0,0.00402484,0.02955382,0.50006,0.1062,0.0079,0,0.67694,0.062659
13255,G1302550,Georgia,Spalding County,25940,-0.24467,-0.1998166,47255,38.5,0.15390364,40548,0.416,0.59813143,0.32967222,0.00443708,0.0096241,0.04357404,0.54923,0.104459,0.02953,0.01556,0.730679,0.02475
13257,G1302570,Georgia,Stephens County,9760,-0.595925,-0.5359023,19490,41.2,0.17622975,37088,0.586,0.83087086,0.12617261,0.00175891,0.00422139,0.02947155,0.535279,0.055969,0.020519,0,0.64008,0.026359
13259,G1302590,Georgia,Stewart County,2053,0.202624,0.27842004,3280,37.3,0.10418649,20882,1,0.26834744,0.47504749,0.0018995,0.02331204,0.22379555,0.12909,0.067349,0,0,0.3313,0.121
13261,G1302610,Georgia,Sumter County,10973,0.022234,0.08427014,22895,35,0.19949299,33534,0.418,0.39906662,0.51889282,0.00209205,0.01248793,0.05278404,0.2951,0.09601,0.026199,0.015869,0.52336,0.08778
