FIPS,gisjoin,state,county,total_votes,dem_margin,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon
37027,G3700270,North Carolina,Caldwell,34732,-0.355032823,62515,41.2,0.123199916,36108,0.344,0.919539311,0.046548828,0.002399424,0.003679117,0.021114932,0.47192,0.090159,0.010635,0.00385
37029,G3700290,North Carolina,Camden,4704,-0.34034864,7205,40.1,0.194597913,56315,0.995,0.834836919,0.148507981,0.00277585,0.003469813,0.006245663,0.13437,0.077659,0,0
37031,G3700310,North Carolina,Carteret,35517,-0.407523158,52515,45.7,0.238432783,47506,0.326,0.90926402,0.059887651,0.004379701,0.003998857,0.01275826,0.23915,0.137969,0.03528,0.0159
37033,G3700330,North Carolina,Caswell,11039,-0.022284627,18530,43.6,0.095864662,38387,0.992,0.62574204,0.347814355,0.004047491,0.001079331,0.012412304,0.17627,0.097219,0,0
37035,G3700350,North Carolina,Catawba,69601,-0.294090602,111025,39.7,0.205445639,43657,0.303,0.858500338,0.08489079,0.002792164,0.019950462,0.025669894,0.338389,0.21218,0.030811,0.011009
37037,G3700370,North Carolina,Chatham,35434,0.047863634,45785,44.1,0.366970693,57793,0.659,0.812274763,0.146772961,0.004259037,0.007535219,0.021732008,0.244629,0.089959,0.016789,0.00222
37039,G3700390,North Carolina,Cherokee,12867,-0.458537344,21790,48.3,0.156029757,34981,1,0.940110142,0.008949059,0.01422671,0.004589261,0.013997246,0.333259,0.075969,0.038405,0.01192
37041,G3700410,North Carolina,Chowan,7505,-0.044636909,11270,44.7,0.185871056,36385,0.676,0.643300799,0.332298137,0.004880213,0.004880213,0.01242236,0.26992,0.10715,0.037109,0.01575
37043,G3700430,North Carolina,Clay,5642,-0.424317618,8460,49.6,0.201569334,38536,1,0.976359338,0.009456265,0.004728132,0.002364066,0.006501182,0.767549,0.11278,0.057901,0
37045,G3700450,North Carolina,Cleveland,43340,-0.201453623,73710,40.5,0.158717417,38181,0.558,0.777574278,0.198277032,0.002306336,0.004951838,0.012413512,0.448589,0.09595,0.010104,0.004639
37047,G3700470,North Carolina,Columbus,24243,-0.078001897,42860,40.4,0.116421412,35182,0.806,0.643723752,0.308446104,0.029748017,0.001749883,0.008166122,0.435089,0.054119,0.0183,0.006019
37049,G3700490,North Carolina,Craven,46170,-0.176846437,76660,36.5,0.218224588,47383,0.277,0.719475607,0.211127055,0.003261153,0.010370467,0.04024263,0.22871,0.12309,0.06177,0.014949
