name_2012,gisjoin,state_2012,2012votes,swing2008to12,obamamargin2012,medianage_2012,bachelorabove_2012,medianincome_2012,rural,white_2012,black_2012,native_2012,asian_2012,hispanic_2012,otherrace_2012,evangelical_2012,mainlineprotestant_2012,catholic_2012,mormon_2012,other religion,County Power Index 2012
Bacon,G1300050,Georgia,3931,-0.008659018,-0.585601628,35.7,0.089339545,33557,0.693,0.825670498,0.156449553,0,0.008939974,0.008939974,0,0.49,0.031989,0.01424,0.021269,0,0.00100794
Baker,G1300070,Georgia,1589,-0.005005889,0.00566394,41.9,0.069964349,24219,1,0.435452794,0.564547206,0,0,0,0,0.263399,0.01072,0,0,0.0029,0.00040743
Baldwin,G1300090,Georgia,16238,0.00885661,0.055056041,34.2,0.19252894,35278,0.351,0.583962653,0.389674585,0.001647673,0.009474118,0.00974873,0.005492242,0.197159,0.05184,0.024059,0.014759,0.001271,0.00416354
Banks,G1300110,Georgia,6195,-0.082512982,-0.738337369,38.2,0.119448572,40162,0.938,0.936627688,0.027913995,0.001131648,0.006035458,0.022632969,0.005658242,0.537269,0.039469,0,0,0.00022,0.00158844
Barrow,G1300130,Georgia,25199,-0.057689069,-0.503869201,33.6,0.166117861,51202,0.301,0.816333049,0.113926746,0.001277683,0.020336457,0.038862862,0.009263203,0.22802,0.070769,0.05514,0.01124,0.00031,0.0064612
Bartow,G1300150,Georgia,35802,-0.064173278,-0.516172281,36.7,0.162132166,49543,0.352,0.858019844,0.100364052,0.004497109,0.00506817,0.023056606,0.008994218,0.345779,0.068189,0.023969,0.010269,0.0016,0.00917988
Ben Hill,G1300170,Georgia,5956,-0.011410494,-0.14842176,38,0.103614029,29162,0.34,0.62901308,0.338089576,0,0.000317083,0.026952041,0.00562822,0.57962,0.060049,0.031469,0,0.00017,0.00152716
Berrien,G1300190,Georgia,6201,-0.043848189,-0.575713595,37.9,0.11787341,31506,0.761,0.869145513,0.105112621,0.000715052,0.00178763,0.017161244,0.006077941,0.282069,0.04288,0.014779,0,0,0.00158998
Bibb,G1300210,Georgia,64718,0.020227657,0.20028431,35.5,0.22796004,37920,0.144,0.474622893,0.490150843,0.001863354,0.01122449,0.012289264,0.009849157,0.326939,0.105659,0.03956,0.00847,0.010859,0.01659415
Bleckley,G1300230,Georgia,4907,-0.023362526,-0.472386387,38.7,0.134781504,37853,0.516,0.708333333,0.264558233,0.001004016,0.023092369,0.00251004,0.000502008,0.30606,0.034369,0,0.042869,0.00107,0.00125819
Brantley,G1300250,Georgia,6002,-0.039575863,-0.670609797,37.9,0.060694851,37374,0.994,0.932153392,0.036873156,0.000294985,0.002212389,0.024705015,0.003761062,0.326759,0.01298,0,0,0.00005,0.00153895
Brooks,G1300270,Georgia,6742,0.073436735,-0.061702759,40.6,0.126403443,35284,0.71,0.632159525,0.351294018,0.000339415,0.001272804,0.013152312,0.001781926,0.303449,0.06249,0,0,0.00025,0.0017287
Bryan,G1300290,Georgia,13453,-0.008756504,-0.435070245,36.1,0.29385579,63818,0.523,0.797435897,0.131235431,0.003263403,0.012587413,0.036829837,0.018648019,0.22681,0.08643,0.06715,0,0.00033,0.00344944
Bulloch,G1300310,Georgia,24085,0.00160465,-0.19020137,25.8,0.26934405,34403,0.483,0.6930164,0.273079049,0.002763958,0.005804312,0.016030956,0.009305325,0.2314,0.073239,0.027019,0.010949,0.00208,0.00617556
Burke,G1300330,Georgia,9779,0.020540938,0.112894979,35.5,0.094074484,31597,0.75,0.504706954,0.472821136,0.000911023,0.000911023,0.013665351,0.006984513,0.295029,0.06965,0.015009,0.02003,0.00416,0.0025074
Butts,G1300350,Georgia,9381,-0.038808775,-0.355825605,38.2,0.089986214,50722,0.779,0.698805224,0.290080578,0,0.000222284,0.006946374,0.00394554,0.28599,0.049039,0.027769,0,0.00047,0.00240535
Calhoun,G1300370,Georgia,2188,-0.027425404,0.189670932,38.8,0.119577433,30042,1,0.361744301,0.597621407,0.002973241,0.001982161,0.029732408,0.005946482,0.279649,0.06349,0,0,0.00388,0.00056102
Camden,G1300390,Georgia,17983,-0.040841807,-0.276149697,31.6,0.188443365,54155,0.314,0.739934265,0.18200493,0.003560668,0.014790468,0.045193098,0.014516571,0.22283,0.06462,0.03278,0.01807,0.00012,0.00461097
Candler,G1300430,Georgia,3528,-0.030311395,-0.336451247,37.6,0.150614461,35833,0.67,0.697780679,0.248694517,0.003916449,0.00848564,0.037859008,0.003263708,0.327149,0.041009,0.02901,0,0,0.0009046
Carroll,G1300450,Georgia,41549,-0.045896291,-0.375267756,33.6,0.188428059,46704,0.418,0.778001131,0.178842892,0.002701175,0.006156166,0.026195113,0.008103524,0.359459,0.0705,0.040369,0.007059,0.00041,0.01065345
Catoosa,G1300470,Georgia,23678,-0.029865841,-0.527620576,38.7,0.178272786,46143,0.281,0.942225018,0.021390374,0.003565062,0.008493237,0.016986474,0.007339834,0.249439,0.04402,0.008179,0,0.000109,0.0060712
Charlton,G1300490,Georgia,3764,-0.008978439,-0.353347503,38,0.099147355,39511,0.51,0.686702128,0.261170213,0.004255319,0,0.046276596,0.001595745,0.225949,0.04667,0.022179,0,0,0.00096512
Chatham,G1300510,Georgia,108628,-0.024408113,0.120061126,34,0.303300781,45653,0.045,0.562587582,0.383780479,0.00216566,0.015287014,0.026905144,0.009274122,0.248199,0.09678,0.08339,0.01096,0.0215,0.02785298
Chattahoochee,G1300530,Georgia,1490,-0.015521099,-0.004026846,23.8,0.28110767,48684,0.295,0.645406671,0.184318315,0.014628438,0.018139263,0.121708602,0.015798713,0.033109,0.005679,0,0,0.00027,0.00038205
Chattooga,G1300550,Georgia,7822,-0.053407346,-0.411659422,39.5,0.081970872,32825,0.576,0.853319609,0.130211014,0.000772002,0.00257334,0.008234689,0.004889346,0.405149,0.046509,0,0,0,0.00200562
Cherokee,G1300570,Georgia,98220,-0.065877888,-0.577000611,36.4,0.346012288,67928,0.171,0.885658113,0.051807395,0.004001104,0.011175497,0.039459161,0.007898731,0.28136,0.08014,0.044869,0.00805,0.000629,0.02518429
Clarke,G1300590,Georgia,40368,-0.025541106,0.287752675,25.9,0.408044097,33846,0.059,0.672644223,0.252861896,0.00056392,0.02436136,0.034511927,0.015056674,0.12701,0.114849,0.072609,0.013279,0.014701,0.01035064
Clay,G1300610,Georgia,1402,0.008895031,0.231811698,42.7,0.092142189,22582,1,0.411889597,0.562632696,0,0.012738854,0.001698514,0.01104034,0.259819,0.061579,0,0,0.00126,0.00035948
Clayton,G1300630,Georgia,96067,0.03676753,0.70070888,31.7,0.175137528,42569,0.009,0.19875814,0.697501136,0.002604877,0.03655914,0.048341663,0.016235045,0.29385,0.025809,0.0406,0.00561,0.046439,0.02463225
Clinch,G1300650,Georgia,2472,-0.046216137,-0.301779935,37.1,0.150323774,33967,0.604,0.724563207,0.262076053,0.002055498,0,0.004110997,0.007194245,0.32112,0.04531,0,0,0,0.00063384
Cobb,G1300670,Georgia,310116,-0.030180125,-0.124463104,35.4,0.438431961,65180,0.002,0.662389516,0.246608909,0.002581605,0.030005688,0.047748753,0.010665529,0.286079,0.103209,0.11189,0.00965,0.012939,0.0795159
Coffee,G1300690,Georgia,14454,0.00545557,-0.289954338,34.8,0.113460968,35583,0.666,0.674806332,0.276860896,0.002020882,0.004715392,0.038059953,0.003536544,0.361879,0.040179,0.028519,0.025329,0.00005,0.00370611
Colquitt,G1300710,Georgia,13328,-0.019822008,-0.395408163,34.9,0.132540209,33186,0.589,0.696830266,0.240797546,0.000340832,0.005453306,0.051465576,0.005112474,0.48068,0.037429,0.02857,0.011119,0.000441,0.00341739
Columbia,G1300730,Georgia,58923,-0.002898369,-0.429611527,36.9,0.346862553,67295,0.162,0.778229967,0.14622263,0.002694027,0.032844205,0.028602545,0.011406626,0.22093,0.07425,0.037609,0.01619,0.027219,0.01510827
Cook,G1300750,Georgia,6031,-0.0247033,-0.313878296,36.5,0.119077873,35983,0.594,0.700250836,0.269648829,0.002090301,0.00083612,0.017140468,0.010033445,0.394899,0.05659,0.01621,0,0.00017,0.00154639
Coweta,G1300770,Georgia,55555,-0.028962012,-0.440734407,36.7,0.260546654,60675,0.329,0.774514797,0.172862559,0.000339501,0.011769366,0.029762915,0.010750863,0.318779,0.077,0.04228,0.01242,0.000699,0.01424469
Crawford,G1300790,Georgia,5133,-0.032565885,-0.323787259,40.8,0.126345019,39403,1,0.743471582,0.231438812,0.009728623,0.001536098,0.004608295,0.00921659,0.076409,0.027949,0,0,0.003009,0.00131614
Crisp,G1300810,Georgia,7396,0.040114649,-0.137236344,37.7,0.137285696,32320,0.47,0.573688837,0.398769411,0.002929974,0.003222971,0.01670085,0.004687958,0.342589,0.073079,0.025769,0,0.00111,0.00189639
Dade,G1300830,Georgia,6020,-0.025939855,-0.508305648,39.2,0.169489982,41677,0.721,0.955546966,0.014302281,0.001932741,0.005411674,0.013529184,0.009277155,0.274269,0.07539,0.016469,0,0.00012,0.00154357
Dawson,G1300850,Georgia,10244,-0.079760325,-0.742483405,40.5,0.23467258,53289,0.803,0.96951584,0.002390915,0.001793186,0.0041841,0.012851166,0.009264794,0.360949,0.041869,0.020019,0.046219,0.000131,0.00262663
Decatur,G1300870,Georgia,10485,0.023718259,-0.117596567,37,0.139357829,30061,0.565,0.572702502,0.398067872,0.004706465,0.002724796,0.018825861,0.002972504,0.415879,0.078189,0.025109,0.008259,0.001901,0.00268843
DeKalb,G1300890,Georgia,306265,-0.018861799,0.567586894,34.3,0.391824742,51252,0.003,0.363978786,0.563167009,0.001461197,0.028974997,0.031626799,0.010791211,0.197729,0.099959,0.090829,0.00399,0.04154,0.07852848
Dodge,G1300910,Georgia,7733,0.000523122,-0.358463727,39.5,0.140090561,36042,0.722,0.682573892,0.289716749,0.001847291,0.001539409,0.020012315,0.004310345,0.56786,0.036979,0.01505,0,0.00041,0.0019828
Dooly,G1300930,Georgia,4298,0.034463368,0.069799907,40.7,0.096793587,30789,0.537,0.475454546,0.5,0.000909091,0.001363636,0.019545455,0.002727273,0.28161,0.07206,0,0,0.0067,0.00110204
Dougherty,G1300950,Georgia,37919,0.041727279,0.391518764,33.4,0.180876906,31789,0.14,0.332635077,0.63825484,0.001516903,0.005128576,0.015096793,0.007367813,0.349079,0.09725,0.041909,0.011849,0.01946,0.0097227
Douglas,G1300970,Georgia,55267,0.021416327,0.039806756,35,0.248188536,54526,0.158,0.567872029,0.372423116,0.004900304,0.010420187,0.036442492,0.007941872,0.34724,0.06,0.070689,0.00883,0.00641,0.01417084
Early,G1300990,Georgia,5353,0.05910039,0.038856716,39,0.121394567,29772,0.66,0.514303483,0.473880597,0,0.001865672,0.005597015,0.004353234,0.462029,0.09012,0.012259,0,0.00064,0.00137255
Echols,G1301010,Georgia,1102,-0.018017329,-0.675136116,32.4,0.074676679,27933,1,0.891489362,0.029787234,0,0,0.080851064,-0.00212766,0.149729,0.04264,0,0,0,0.00028256
